,date,headline,sponsored
58,"July 6, 2018",A.I camera on a 6.0 FHD+ screen: Viewing is better on the Infinix Note 5,True
59,"July 6, 2018",Taxify Needs To Fix Its Bug-Ridden App ASAP,False
60,"July 6, 2018",Babies Teach You The Perfect Attitude To Failure,False
61,"July 5, 2018",A Brief Look At Insurtech In Kenya,False
62,"July 5, 2018","Huawei, NIIA, Embassy of China advocate collaboration, policy harmonization for Digital Economy",True
63,"July 5, 2018",Facebook Wants Nigerian Creators And It’s Partnering With Afrinolly To Get Them,False
64,"July 4, 2018","Microsoft and Sidmach reveal Imagine Academy, Smart School, SEAMs to Nigerian Schools",True
65,"July 4, 2018",A Cursory Look At Music Tech In South Africa,False
66,"July 4, 2018",Certum Extended Validation SSL now available to all Nigerian and West African organisations,True
67,"July 2, 2018",EFInA & CcHub hold FinTech RoundTable with London Mayor Charles Bowman on foreign collaboration & financial inclusion in Nigeria,True
68,"July 2, 2018",Tecno Spark 2 Review: A Smartphone To Have,True
69,"July 2, 2018",Infinix Unveils “Beyond Intelligent” Smartphone Note 5 Powered by Android One,True
70,"July 2, 2018",How to identify Bitcoin scams,True
71,"June 28, 2018",A Social Innovation Tour of West Africa,False
72,"June 28, 2018","New Tecno SPARK 2 VS Tecno SPARK, Why should I Upgrade?",True
73,"June 27, 2018",Infinix Unveils “Beyond Intelligent” Device Note 5 Powered by Android One,True
74,"June 27, 2018",Opera News reaches 10 million users in Africa thanks to World Cup features,True
75,"June 27, 2018",Bitkoin Africa Has Secured An Undisclosed Amount Of Funding From Microtraction,False
76,"June 26, 2018",The Need For Focused Service Providers To Support The Developing Startup Ecosystem,False
77,"June 25, 2018",Workstation: The Co-Everything Space,False
78,"June 25, 2018","Microsoft, Sidmach Set To Advance Digital Transformation In Nigerian Schools",True
79,"June 22, 2018",Itel Mobile Raises The Bar In Smartphone Battery Life; Unveils Itel P32 In Lagos,True
80,"June 21, 2018",A Look At Health Tech In Egypt,False
81,"June 20, 2018",A (Very) Brief History of Digital Music In Kenya,False
82,"June 20, 2018",JumiaPay is offering 5% discount off your purchase.,True
83,"June 19, 2018",Why Linda Ikeji Is Important,False
84,"June 15, 2018",Kwesé Iflix launches World-Class Mobile Video Service ahead of the World Cup,True
85,"June 14, 2018",TECNO Spark 2 Unboxing and First Impression Review,True
86,"June 13, 2018",“What Do Devs Do?” by Sales People,False
87,"June 13, 2018","oraimo Toast, Powers Your World.",True
88,"June 12, 2018",Versus – The Bank App Edition: Zenith VS Access,False
89,"June 12, 2018",Spectranet announces Data Bonanza for customers to watch and support  the Super Eagles,True
90,"June 11, 2018",Government-backed Tech Funding Opportunities In South Africa,False
91,"June 8, 2018","Brains, Focus And Grit: A Profile of Odunayo Eweniyi, Co-Founder, Piggybank.ng",False
92,"June 8, 2018","Gokada, Nigeria’s On-demand Bike Hailing App Is Changing The Face Of Okada In Lagos",True
93,"June 6, 2018",What Does IoT Look Like In Nigeria Right Now?,False
94,"June 6, 2018",Why Should You Choose a 10 Inch Tablet?,True
95,"June 5, 2018",Why Is Hardware Hard In Nigeria?,False
96,"June 4, 2018",Who Is Doing Hardware In Nigeria?,False
97,"May 31, 2018",Data Protection In Nigeria,False
98,"May 30, 2018",There Should Be A Uniform Way For Nigerian Developers To Identify Themselves,False
99,"May 28, 2018",Africa’s Most Tech-Friendly Governments,False
100,"May 28, 2018",Reasons You Should Get A Smartphone With Great Battery Life,True
101,"May 25, 2018",Versus: Google Tasks VS Any.do,False
102,"May 24, 2018",What Does GDPR Mean For African Startups?,False
103,"May 24, 2018",HMD Global Partners with Techpoint Inspired 2018,True
104,"May 23, 2018",Winners Emerge In FCMB-Sponsored “Secure Lagos Hackathon”,True
105,"May 22, 2018",Union Bank Is Betting On Robotics To Improve Service Delivery And Optimize Its Processes,False
106,"May 21, 2018",A Blockchain Tour Of Africa,False
107,"May 17, 2018",Here’s Everything That Happened At Diamond Bank’s TechFest 2018,False
108,"May 15, 2018",The Best Way to Start an Agric Business and Make Money Right Now,True
109,"May 15, 2018",Two-day battery flagship hero Nokia 7 plus arrives in Nigeria,True
110,"May 14, 2018",The Transform Africa Economic Forum Is Proof That Africa Knows Its Onions,False
111,"May 10, 2018",Connect And Collaborate at Techfest,True
112,"May 10, 2018",Women in STEM: Time to recalculate our approach?,False
113,"May 9, 2018","A Collaboration Of Premium Entities – INFINIX Mobility Limited Signs Celebrity Music Artiste, Davido As Brand Ambassador",True
114,"May 7, 2018",MTN Ghana’s Self Service Kiosk: What does this mean for Mobile Money Agents?,False
115,"May 7, 2018",Experience Tomorrow Today At Techfest,True
116,"May 7, 2018",Everything You Can Expect From This Year’s Transform Africa Summit,False
117,"May 4, 2018",The Secure Lagos Hackathon Is A Lagos Innovates Event With N3 Million in Prize Money,False
118,"May 3, 2018",You Are All Invited To Diamond Bank’s TechFest,False
119,"May 3, 2018",A Timeline of Internet Blockages in Africa,False
120,"May 2, 2018",This Is How African Governments And Regulators Feel About Cryptocurrencies Right Now,False
121,"May 2, 2018",Your Data Is Our Data: A Truecaller Breakdown,False
122,"April 27, 2018",TECNO Camon X – A Phone With A Camera That Shoots Excellent Photos,True
123,"April 27, 2018",Porn Detection Machines and 7 Other Times African Governments Left Us Confused,False
124,"April 25, 2018",Can the Nigerian police stop and search you and look through your email?,False
125,"April 25, 2018",Bosch Power Tools Launches Bosch Go Smart Automatic Screwdriver Into The Nigerian Market.,True
126,"April 25, 2018",The Death of Mobile Money and Financial Inclusion in Uganda,False
127,"April 23, 2018",Accenture Innovation Index 2018 Entry Opens,True
128,"April 10, 2018",The African Union and i4policy are convening Africa’s largest hub gathering,False
129,"April 10, 2018","Uganda could use a Lifebank, or a Zipline, or both",False
130,"April 9, 2018",Tecno Camon X Unboxing And First Impressions,True
131,"April 4, 2018",Sponsored: Tecno’s new smartphone could come with blink and snap technology,True
132,"April 4, 2018",On money transfer in Africa in 2018,False
133,"April 2, 2018",How to safely get an Uber from the airport in Abuja,False
134,"March 30, 2018",OLX releases a significant platform upgrade in Nigeria,True
135,"March 30, 2018","Win a trip for two to Zanzibar, courtesy Travelstart Nigeria",True
136,"March 29, 2018",SWIFT Networks launches free broadband WI-FI service in Lagos,True
137,"March 26, 2018",Stream easy with CloudCover,True
138,"March 24, 2018",Get constant internet coverage on the move,True
139,"March 20, 2018",Enhance your travel experience with Cloud Cover,True
140,"March 16, 2018",Diamond Bank Excites Youths with Gamified Digital Savings Platform,True
141,"March 14, 2018",The Cloud Cover MiFi will fix your spotty connectivity,True
142,"March 13, 2018",Diamond Bank launches Artificial Intelligence-powered Chatbot for millions of Nigerian customers,True
143,"March 13, 2018","Merge, Human-tech Book is Relevant to Nigeria – PHD",True
144,"March 2, 2018",Chat with LEO: UBA’s new virtual banker,True
145,"March 1, 2018",Coolworld Unveils the New Haier Thermocool Energy Saving Electrical Appliances into the Nigerian Market,True
146,"February 20, 2018",Spectranet Launches “EVO” MiFi,True
147,"February 15, 2018",Digital Entertainment – Africa’s next disruption,True
148,"February 12, 2018",Developed for Africans by Africans: Kurecoinhub set to launch the first African cryptobank,True
149,"January 18, 2018",Itanna: Poised to Ignite an Economic Revolution in Africa – The Search for Africa’s Top Fintech Talent Continues,False
150,"January 3, 2018",How to Take Advantage of Lagos Innovates’ Investment in the Tech Ecosystem,False
151,"December 22, 2017",Quality Time: Tunde Ibidapo-Obe talking about LawPàdí and making Nigerian laws more accessible.,False
152,"December 20, 2017",Spectranet Launches Xmas Promo,True
153,"December 14, 2017",The iPhone X Officially Arrives in Nigeria as Apple Launches New Smartphone in Lagos,False
154,"December 14, 2017",Here’s How Government Can Actually Help Startups,False
155,"December 13, 2017",Mall for Africa wins Prestigious Drapers Award in London,False
156,"December 11, 2017",10 stories that defined the Nigerian tech scene in 2017,False
157,"December 7, 2017",Spectranet 4G LTE Appoints new CEO,True
158,"December 6, 2017",Delivering Innovation in a Developing Economy,False
159,"December 5, 2017",Zoto Announces 1 Naira Sale on its App,False
160,"November 29, 2017",ULAFF TV Wants to Tackle Depression in Nigeria with Online Comedy,False
161,"November 27, 2017",AFF Disrupt To Herald Nigeria’s First Fintech Accelerator,True
162,"November 23, 2017","Quality Time: Nnamdi Chineme on building the largest property site in Nigeria, why’s he’s not afraid of competitors outspending him and more.",False
163,"November 17, 2017",Why The New Instant Bills Pay Is The Best Payment Method In Town Now,True
164,"November 17, 2017",Four reasons to purchase the Infinix Note 4 & Note 4 pro at the Infinix Super Friday Promotion,True
165,"November 16, 2017",Tranter IT partners with Manage Engine to change the face of IT Management,True
166,"November 13, 2017","AAAP’s “Machines Millennials and Money” will hold  on the 17th of November, 2017.",True
167,"November 13, 2017",Bounce News Nigeria Wins AppsAfrica award in South Africa,True
168,"November 7, 2017",Boomplay Leads The Pack As They Win Award For ‘Best African App’,True
169,"November 1, 2017",Siemens Launches Fast Power Solutions,True
170,"October 30, 2017",Data Science Nigeria Positions Nigeria as Outsourcing Hub for the World’s Number 1 Career,True
171,"October 27, 2017","Data Science Nigeria Bootcamp: Passion, Learning, and A Lady Hackathon Winner",True
172,"October 25, 2017",CitiServe launches OrangeBox™ 7210 and retail platform,True
173,"October 16, 2017","Building the future, with Kendall Ananyi: reaching $1million in revenue without raising investment",False
174,"October 11, 2017","Valerie Kerri on being an author, launching her startup Ebony Street Market, and more.",False
175,"October 11, 2017",A lot can happen with 9mobile’s Moreflex Hybrid Premium Bundles,True
176,"October 10, 2017","BREAKING: Andela raises $40m from CRE VC, DBL, Salesforce, TLcom, others in Series C round",False
177,"October 9, 2017","NES23 Summit Starts October 10 – 12, 2017 At Transcorp Hilton:  Opportunities, Productivity & Employment To Actualize The ERGP",True
178,"October 5, 2017",Siemens Gas Turbine to generate another 150MW to the National Grid,True
179,"October 4, 2017",3 Reasons Why GoodsExpress is as good as having Amazon Nigeria,True
180,"October 3, 2017",Pre-Register for Your Samsung Galaxy Note 8,True
181,"October 3, 2017",Diamond Bank Set To Rock The Tech Stage,True
182,"September 27, 2017",Spectranet 4G LTE Launches Customer Loyalty Programme. Winner to get trip to Dubai,True
183,"September 25, 2017","Building the future, with Oluyomi Ojo: How to build a new business from an old industry",False
184,"September 22, 2017",Disruptive Innovation: 3 Key Takeaways from #InterswitchConnect 2017,True
185,"September 22, 2017",Pay securely and earn amazing rewards with Diamond mVisa,True
186,"September 22, 2017",OyaNow Ready to Deliver Convenience At Your Doorstep,True
187,"September 20, 2017",Digest: How do women use mobile money?,False
188,"September 18, 2017","Building the Future, with Afua Osei, co-founder of She Leads Africa",False
189,"September 18, 2017",Digest: How to save the peoples of Africa,False
190,"September 15, 2017",What To Expect When You Buy The New  Gionee A1 lite Smart Phone,True
191,"September 13, 2017",Bunmi Otegbade: Build the Future.,False
192,"September 13, 2017","Quality Time: Sani Yusuf on launching a new start-up, building your developer brand, lessons he wished he knew earlier, and more.",False
193,"September 13, 2017",5 features Of The New UBA Mobile App You Cant Do Without,True
194,"September 13, 2017",Digest: Showmax’s Trojan Horse,False
195,"September 12, 2017",10 Nigerian Youths Get Full Scholarship to Study in China,True
196,"September 12, 2017",InterswitchConnect: Registration Continues For First Of Its Kind Tech/Payment Conference,True
197,"September 11, 2017","Building The Future, with Michael Ocansey: Using Technology to Manage 1000 Hectares of Farmland in Ghana",False
198,"September 8, 2017",Digest: Somalia’s first tech hub,False
199,"September 7, 2017","TechCabal’s Office Hours, with Lexi Novitske: How to raise funds for your Nigerian startup",False
200,"September 7, 2017","The 23rd Nigerian Economic Summit: Creating Opportunities For Startups, October 10 – 12, 2017",True
201,"September 6, 2017",Digest: Liquid Telecom looks west,False
202,"September 5, 2017",Digest: Senegal’s green Uber,False
203,"September 4, 2017","Building the Future, with Shola Akinlade: How to build a big business by solving painful problems",False
204,"September 4, 2017",Digest: Google Launchpad Accelerator Expands to Other African Countries,False
205,"September 4, 2017","No, NCC, mobile phones are not causing cancer",False
206,"September 1, 2017",Telkom Kenya sets out to drive data consumption,False
207,"August 31, 2017",World Bank’s XL Africa programme announces its first cohort,False
208,"August 30, 2017",Renewable energy company plans to invest $800 million on solar-powered telecom towers across Africa,False
209,"August 29, 2017",Nigerian Army to begin monitoring activities on social media,False
210,"August 29, 2017",Nigeria’s first mobile cinema smartphone unveiled: Infinix Hot 5 & HOT 5 Lite in Nigeria,True
211,"August 28, 2017","Building the Future, with Ngozi Dozie: The paradox of focus for African entrepreneurs",False
212,"August 28, 2017",9 things we learnt from Yele’s AMA,False
213,"August 28, 2017",Kenya ranks highest in Africa in broadband internet speeds,False
214,"August 24, 2017",Ogavenue launches in Kenya,False
215,"August 23, 2017",Taxify is winning Lagos. For now.,False
216,"August 23, 2017","Register to attend the premier Interswitch Connect Conference, Exhibition and Breakouts.",True
217,"August 23, 2017",10 Nigerian startups selected for Seedstars World pitch,False
218,"August 22, 2017",African healthtec startup Helium Healthcare presents at Y Combinator’s 25th Demo Day,False
219,"August 21, 2017","Building the Future – Episode 9, with Marek Zmyslowski",False
220,"August 21, 2017",Nigeria Electronic Fraud Forum releases its 2016 annual report,False
221,"August 21, 2017",15 Million Naira Up For Grabs In Diamond BET 7,True
222,"August 21, 2017",Unboxing The New Gionee A1 Lite,True
223,"August 17, 2017",She Leads Africa opens applications for beauty accelerator programme,False
224,"August 16, 2017",FG Partners Huawei to Create Smart Cities in Nigeria.,True
225,"August 16, 2017",Zenith Bank takes provision on 30% of its loan to 9mobile,False
226,"August 15, 2017",17 African countries in the bottom 30 of global internet speeds,False
227,"August 14, 2017",The 22 Year Old OAU Student Who Built a Million Dollar Hedge Fund,False
228,"August 14, 2017","Radar AMA sessions are back, and Yele Bademosi will be taking your questions on August 25th!",False
229,"August 14, 2017",Meet The New Gionee A1 Lite: A Blend of Beauty and Power,True
230,"August 14, 2017","Building the Future: Lessons learnt from attempting to build an ecommerce platform in Nigeria, with Deepankar Rustagi",False
231,"August 14, 2017",Civic Innovation Lab opens applications for Civic Accelerator Programme,False
232,"August 11, 2017",Nigerian government plans automotive design competition,False
233,"August 10, 2017","TechCabal’s Office Hours, with Mark Essien: Running a startup as a technical founder",False
234,"August 10, 2017",Tizeti Launches Unlimited Speed in New Neighbourhoods,True
235,"August 10, 2017",Two African cities make Dell’s list of top 50 cities for support of female entrepreneurs,False
236,"August 9, 2017","Quality Time: Amina Ibrahim and Lara Tijani discussing PAN, socio-economic issues, co-founders’ decision making, and more",False
237,"August 3, 2017","Spectranet Introduces Pebble Mifi, offers more to subscribers",True
238,"August 3, 2017","Coollink, partner of Konnect Africa, Announces Asta Satellite Broadband",True
239,"August 1, 2017",African Tech Roundup: Investor Bias Debate 2.0 + Should Africa Embrace Uberisation? feat. Vije Vijendranath,False
240,"July 28, 2017",Remita Mobile App now on Android and iOS,True
241,"July 27, 2017",Uber launches support centre,False
242,"July 26, 2017",NCC moves to fine mobile network operators over call refilling,False
243,"July 25, 2017",Building the Future: In Conversation with Mark Essien,False
244,"July 24, 2017",Ushahidi Fires Daudi Were,False
245,"July 21, 2017",Etisalat Nigeria Becomes 9mobile,True
246,"July 20, 2017",Visa and leading banks bring mobile payments to Nigeria,True
247,"July 19, 2017",African Tech Roundup: Uber drivers in SA now considered employees of the service,False
248,"July 19, 2017",Etisalat Nigeria Officially Confirms Brand Name Change,False
249,"July 18, 2017",Building the Future: In Conversation with Bob Collymore,False
250,"July 17, 2017",How FlexiSAF is Transforming Education,True
251,"July 17, 2017",TechCabal Schedules Office Hours with Odun Longe and Ope Adeoye,False
252,"July 14, 2017",Office Hours with Odun Longe,False
253,"July 14, 2017",Office Hours with Ope Adeoye,False
254,"July 13, 2017",HUB8 Launches In Nigeria,True
255,"July 12, 2017",Printivo Launches Printivo Store,False
256,"July 11, 2017","Get up to N100,000 in minutes with Etisalat’s KwikCash Mobile Loan Solution",True
257,"July 11, 2017","Register For ‘Africa As A Platform Conference’ Tagged: “Machines, Millennials &Money.”",True
258,"July 10, 2017",.AFRICA Domain Names Are Now Available,True
259,"July 10, 2017",R.I.P. Mubarak Abdulwahab,False
260,"July 6, 2017","Building the Future: Iyin Aboyeji – Empowering People, Building Platforms and Getting Power",False
261,"July 6, 2017",Newly Appointed Etisalat Board to Decide Company’s Fate in Six Months,False
262,"July 4, 2017",Introducing the Infinix Note 4 with Xpen,True
263,"July 3, 2017",The Open Yaba Manifesto Goes Live on Radar,False
264,"June 28, 2017",African Tech Roundup: Malawi’s Push for National Digitisation,False
265,"June 23, 2017",Western Union Partners with Mastercard for Refugee Assistance Initiative,False
266,"June 22, 2017",Side Hustle to Empire: The 3 Hardest Things About Running My Startup,False
267,"June 22, 2017",Fibre.ng’s Express Launches in Beta,False
268,"June 21, 2017",Offshore HoldCos as Investment Vehicles for Nigerian Startups – Some Considerations for Founders and VCs,False
269,"June 20, 2017",Safaricom Set to Launch a Music Streaming Service in July,False
270,"June 19, 2017",African Tech Roundup: Africa-Focused Insights From IoT World Forum 2017,False
271,"June 19, 2017","60,000 Nigerians Participate in an Instagram Live Praise and Worship Session",False
272,"June 16, 2017",Office Hours with Olumide Olusanya,False
273,"June 16, 2017",True Talk with Ezra Olubi,False
274,"June 13, 2017",Egyptian Government Demands Uber Data,False
275,"June 13, 2017",Side Hustle to Empire: How I Quit My 9 to 5 for My Side Hustle,False
276,"June 12, 2017",Siemens Cost Reduction Solutions for Nigerian Oil and Gas Industry.,True
277,"June 12, 2017","Quality Time: Lola Ekugo On Launching Transthat, Lessons From Previous Startups, And More",False
278,"June 12, 2017",Nigeria Just Got a Verified Twitter Handle,False
279,"June 8, 2017",Ewa Agoyin Online Launches,False
280,"June 6, 2017",Meet the New TECNO DroiPad 7D,False
281,"June 6, 2017",LAN Start-Up DealDay 2017 Now Open for Applications,False
282,"June 5, 2017",The Population of Nigerians with Bank Accounts,False
283,"June 2, 2017",Afrobytes Tech Conference,False
284,"June 2, 2017",Valuation Variance Pt. 2,False
285,"June 2, 2017",New York Designer Accuses Wema of Plagiarism,False
286,"June 1, 2017",The Expat Founder Debate and a Busload of Accidental Hot Takes Feat. Mark Kaigwa,False
287,"June 1, 2017",Ethiopian Government Shuts Down Internet,False
288,"May 31, 2017",Get the best rewards with NOWNOW,True
289,"May 26, 2017",Philip Ese’s ALAT Report,False
290,"May 25, 2017",Akwa Ibom State Government Launches Factory for Pencil Production,False
291,"May 24, 2017",Valuation Variance Pt.1,False
292,"May 24, 2017",Frontier Car Group Closes $22 Million Investment,False
293,"May 23, 2017",Tapping Into The Right Content Opportunities,True
294,"May 23, 2017",Nigerian Banks Earned N138 Billion in Electronic Payment Charges in 2016,False
295,"May 18, 2017",Truecaller Set to Starting Serving Ads to Users in Africa,False
296,"May 17, 2017",Lagos State Government Bans VIO,False
297,"May 16, 2017",EasyWin Games: Nigeria’s First Realtime Multiplayer Game,True
298,"May 15, 2017",What you should know about Africa’s first Dual front camera smartphone ‘Infinix S2’,True
299,"May 15, 2017","Photos from the Canon 5D Mark IV Launch In Lagos, Nigeria",True
300,"May 15, 2017",African Tech Roundup: Scientists Successfully Remove HIV Virus From Mouse Cells Using CRISPR,False
301,"May 15, 2017",Nigeria Is Home to the Newest Porn Economy,False
302,"May 12, 2017",A Sneak Peek at ALAT,True
303,"May 11, 2017",Spectranet gets recognized with double awards,True
304,"May 11, 2017",Google Won’t Be Building Fibre Infrastructure in Nigeria,False
305,"May 10, 2017",NOWNOW App Review,True
306,"May 10, 2017",Lagos Uber Riders Consider Uber Alternatives,False
307,"May 10, 2017","No, Taxify Is Not “Winning” the “War” Against Uber",False
308,"May 9, 2017",Hemon Consulting’s Business Space,True
309,"May 9, 2017",TechCabal Daily: The CcHub Disapora Challenge,False
310,"May 8, 2017",TechCabal Daily: The African Connectivity Hustle,False
311,"May 5, 2017",TechCabal Daily: Generous Uber,False
312,"May 4, 2017",TechCabal Daily: What is Public Transport?,False
313,"May 3, 2017",Konga Daily’s Unveiling,False
314,"May 2, 2017","HiiL offers up to 20,000 EUR plus business support for justice innovators",True
315,"May 2, 2017",We are back!,False
316,"April 28, 2017",Paga Partners With NIPOST,False
317,"April 27, 2017",Stanbic IBTC’s instant account opening service in open beta,False
318,"April 26, 2017","Accounting startup, ikOOba BMAC, has launched in Nigeria",True
319,"April 26, 2017",TechCabal daily: Which way Rocket?,False
320,"April 25, 2017",Garanntor Nigeria bags the Best Local Hosting Company category at NIRA 2017 .NG Awards,True
321,"April 25, 2017",TechCabal daily: Safaricom goes dark,False
322,"April 25, 2017","NOWNOW: Ditch your wallet, take your mobile money!",True
323,"April 24, 2017",Hot Deals from Kilimall Nigeria in The Ongoing Mobile Week,True
324,"April 24, 2017",Startup Buffettology Lesson #4: Less Is More,False
325,"April 24, 2017",TechCabal daily: Konga launches groceries,False
326,"April 21, 2017",TechCabal daily: A new way of doing things,False
327,"April 20, 2017","Watch Herbert Wigwe, MD/CEO of Access Bank’s Interview on Innovation and Technology in Africa",True
328,"April 20, 2017",TechCabal daily: May Your Industry Be Glorious,False
329,"April 19, 2017",Building Netsob: Episode 7 – The New iUniport SMS Alert and the Resulting Conundrum,False
330,"April 19, 2017",The Samsung Galaxy S8 and S8+ are now available for pre-registration in Nigeria,True
331,"April 19, 2017",TechCabal daily: Speedtest or it didn’t happen,False
332,"April 18, 2017",Startup Buffettology Lesson #3: Life Is Too Short,False
333,"April 18, 2017",MTN Mobile Electricity: Just the right gift!,True
334,"April 18, 2017",TechCabal daily: Welcome Back,False
335,"April 13, 2017",Let’s Talk about Security Threats at the Oracle Security Summit 2017 happening in Lagos this April,True
336,"April 13, 2017",TechCabal daily: Don’t shoot the messenger,False
337,"April 12, 2017",Building Netsob: Episode 6 – iUniport vs Facebook,False
338,"April 12, 2017",Op-Ed: SWOT analysis of the Nigerian e-commerce sector,False
339,"April 12, 2017","TechCabal Daily: “Injects”, “pumps” or “pours”?",False
340,"April 11, 2017","Join Ferdicon founder, Ferdinand Ezeaniekwe, for an exclusive AMA on e-commerce this Thursday at 2pm",False
341,"April 10, 2017",Startup Buffettology Lesson #2: The market is Queen,False
342,"April 10, 2017",Op-Ed: Regulating Net Neutrality: Policy Recommendations for Promoting and Safeguarding an Open Internet in Nigeria,False
343,"April 10, 2017","TechCabal Daily: Bank Alat. No, this is not a typo",False
344,"April 7, 2017",TechCabal daily: The tax man from Zim,False
345,"April 6, 2017",African Tech Roundup: Talking ladders and trampolines with Musa Kalenga,False
346,"April 6, 2017","TechCabal daily: Solo’s smartphones that cost just N4,000",False
347,"April 5, 2017",Building Netsob: Episode 5 – iUniport Subscription Upgrade,False
348,"April 5, 2017",We got a little personal with Babusi Nyoni before our AMA tomorrow,False
349,"April 5, 2017",TechCabal daily: Stocks and pickles,False
350,"April 4, 2017",Margin Business Guides: For Nigerian women with business dreams,False
351,"April 4, 2017",What insurance do you need and why?,True
352,"April 4, 2017",TechCabal daily: And the deals keep coming,False
353,"April 3, 2017",Startup Buffettology Lesson #1: Knowledge is King,False
354,"April 3, 2017",Come talk all things Artificial Intelligence and UX design with Babusi Nyoni on Radar this Thursday,False
355,"April 3, 2017",TechCabal daily: Get your paper right,False
356,"March 31, 2017","TechCabal daily: Mo’ funds, mo’ services",False
357,"March 30, 2017",Margin Business Guides: Your business needs a unique selling proposition urgently,False
