,date,headline,sponsored
35,"July 26, 2018",First Impressions – Infinix Note 5 is a smartphone back from the future,True
36,"July 25, 2018",Data Costs Across Some Major Cities In Africa,False
37,"July 23, 2018",The Major Telcos Funding Startups In West Africa,False
38,"July 23, 2018",What’s Happening With Renewable Energy In North Africa?,False
39,"July 23, 2018",Infinix Note 5: First Impressions and Unboxing,True
40,"July 23, 2018",Spectranet World Cup Promo: First Set of Winners Emerge,True
41,"July 23, 2018",Huawei’s academic partnerships aid development of digital economy,True
42,"July 21, 2018",Buy and Sell Gift Cards in Nigeria,True
43,"July 20, 2018",What’s Going On With Auto Rickshaw (Tricycle) Hailing In Nigeria?,False
44,"July 20, 2018",Okada-On-Demand: A Gokada Review,False
45,"July 19, 2018",Africa’s Infrastructure Deficit & Its Impact On Innovation,False
46,"July 19, 2018",Why ‘Okada-On-Demand’ Has The Best Chance Of Disrupting Transportation In Nigeria,False
47,"July 18, 2018",The Road To Africa’s Next Tech Unicorn,False
48,"July 18, 2018",What African Cities Are The Best To Launch A Startup?,False
49,"July 18, 2018",The World Cup has Ended And Opera News Has Given Out The Second Of The Three Cars In Its Promo,True
50,"July 18, 2018",Banking On Fintech: You Are Invited To Stears’ Inaugural Summit,False
51,"July 17, 2018",Disruption – How Infinix Mobility smartphone cameras have transformed smartphone photography,True
52,"July 17, 2018",Why Africa Needs More Agritech Entrepreneurs,False
53,"July 17, 2018",An Overview Of What Social Innovation Looks Like In East Africa,False
54,"July 16, 2018",Senegal And Its Growing Fintech Industry,False
55,"July 16, 2018",Africa’s Broadband Internet Speeds,False
56,"July 16, 2018",Moving From Financial Access To Health,False
57,"July 16, 2018",Microsoft Windows 10 Professional will be great for Gaming,True
58,"July 16, 2018",Dreamworks Integrated System launches a new improved website,True
59,"July 14, 2018",Boomplay Announces 10 Million Installations on Google Play store & 29 Million Total User Base,True
60,"July 13, 2018",There’s A Font Inspired By Lagos’ Danfos And It’s Brilliant,False
61,"July 13, 2018",Rave Of The Moment – Vskit Is Becoming Popular Among Nigerian Youths,True
62,"July 13, 2018",Ventures Platform and USNC’s Corporate Leaders Fund Is Encouraging Much Needed Local Investment,False
63,"July 11, 2018",Ethiopian Tech Entrepreneurs Are Gradually Transforming Its Education System,False
64,"July 10, 2018",The Challenges Liberia’s Health Tech Innovators Are Confronting,False
65,"July 10, 2018",Uber Is Forcing Its Drivers To Take Work Breaks And It’s Awesome,False
66,"July 9, 2018",A Quick Look At The Different Sectors Drone Tech Is Transforming In Africa,False
67,"July 9, 2018",Why Technology Cannot Solve Any Of Nigeria’s Transportation Problems,False
68,"July 6, 2018",What Chad’s Startup Community Can Do About Its Food Insecurity,False
69,"July 6, 2018",A.I camera on a 6.0 FHD+ screen: Viewing is better on the Infinix Note 5,True
70,"July 6, 2018",Taxify Needs To Fix Its Bug-Ridden App ASAP,False
71,"July 6, 2018",Babies Teach You The Perfect Attitude To Failure,False
72,"July 5, 2018",A Brief Look At Insurtech In Kenya,False
73,"July 5, 2018","Huawei, NIIA, Embassy of China advocate collaboration, policy harmonization for Digital Economy",True
74,"July 5, 2018",Facebook Wants Nigerian Creators And It’s Partnering With Afrinolly To Get Them,False
75,"July 4, 2018","Microsoft and Sidmach reveal Imagine Academy, Smart School, SEAMs to Nigerian Schools",True
76,"July 4, 2018",A Cursory Look At Music Tech In South Africa,False
77,"July 4, 2018",Certum Extended Validation SSL now available to all Nigerian and West African organisations,True
78,"July 2, 2018",EFInA & CcHub hold FinTech RoundTable with London Mayor Charles Bowman on foreign collaboration & financial inclusion in Nigeria,True
79,"July 2, 2018",Tecno Spark 2 Review: A Smartphone To Have,True
80,"July 2, 2018",Infinix Unveils “Beyond Intelligent” Smartphone Note 5 Powered by Android One,True
81,"July 2, 2018",How to identify Bitcoin scams,True
82,"June 28, 2018",A Social Innovation Tour of West Africa,False
83,"June 28, 2018","New Tecno SPARK 2 VS Tecno SPARK, Why should I Upgrade?",True
84,"June 27, 2018",Infinix Unveils “Beyond Intelligent” Device Note 5 Powered by Android One,True
85,"June 27, 2018",Opera News reaches 10 million users in Africa thanks to World Cup features,True
86,"June 27, 2018",Bitkoin Africa Has Secured An Undisclosed Amount Of Funding From Microtraction,False
87,"June 26, 2018",The Need For Focused Service Providers To Support The Developing Startup Ecosystem,False
88,"June 25, 2018",Workstation: The Co-Everything Space,False
89,"June 25, 2018","Microsoft, Sidmach Set To Advance Digital Transformation In Nigerian Schools",True
90,"June 22, 2018",Itel Mobile Raises The Bar In Smartphone Battery Life; Unveils Itel P32 In Lagos,True
91,"June 21, 2018",A Look At Health Tech In Egypt,False
92,"June 20, 2018",A (Very) Brief History of Digital Music In Kenya,False
93,"June 20, 2018",JumiaPay is offering 5% discount off your purchase.,True
94,"June 19, 2018",Why Linda Ikeji Is Important,False
95,"June 15, 2018",Kwesé Iflix launches World-Class Mobile Video Service ahead of the World Cup,True
96,"June 14, 2018",TECNO Spark 2 Unboxing and First Impression Review,True
97,"June 13, 2018",“What Do Devs Do?” by Sales People,False
98,"June 13, 2018","oraimo Toast, Powers Your World.",True
99,"June 12, 2018",Versus – The Bank App Edition: Zenith VS Access,False
100,"June 12, 2018",Spectranet announces Data Bonanza for customers to watch and support  the Super Eagles,True
101,"June 11, 2018",Government-backed Tech Funding Opportunities In South Africa,False
102,"June 8, 2018","Brains, Focus And Grit: A Profile of Odunayo Eweniyi, Co-Founder, Piggybank.ng",False
103,"June 8, 2018","Gokada, Nigeria’s On-demand Bike Hailing App Is Changing The Face Of Okada In Lagos",True
104,"June 6, 2018",What Does IoT Look Like In Nigeria Right Now?,False
105,"June 6, 2018",Why Should You Choose a 10 Inch Tablet?,True
106,"June 5, 2018",Why Is Hardware Hard In Nigeria?,False
107,"June 4, 2018",Who Is Doing Hardware In Nigeria?,False
108,"May 31, 2018",Data Protection In Nigeria,False
109,"May 30, 2018",There Should Be A Uniform Way For Nigerian Developers To Identify Themselves,False
110,"May 28, 2018",Africa’s Most Tech-Friendly Governments,False
111,"May 28, 2018",Reasons You Should Get A Smartphone With Great Battery Life,True
112,"May 25, 2018",Versus: Google Tasks VS Any.do,False
113,"May 24, 2018",What Does GDPR Mean For African Startups?,False
114,"May 24, 2018",HMD Global Partners with Techpoint Inspired 2018,True
115,"May 23, 2018",Winners Emerge In FCMB-Sponsored “Secure Lagos Hackathon”,True
116,"May 22, 2018",Union Bank Is Betting On Robotics To Improve Service Delivery And Optimize Its Processes,False
117,"May 21, 2018",A Blockchain Tour Of Africa,False
118,"May 17, 2018",Here’s Everything That Happened At Diamond Bank’s TechFest 2018,False
119,"May 15, 2018",The Best Way to Start an Agric Business and Make Money Right Now,True
120,"May 15, 2018",Two-day battery flagship hero Nokia 7 plus arrives in Nigeria,True
121,"May 14, 2018",The Transform Africa Economic Forum Is Proof That Africa Knows Its Onions,False
122,"May 10, 2018",Connect And Collaborate at Techfest,True
123,"May 10, 2018",Women in STEM: Time to recalculate our approach?,False
124,"May 9, 2018","A Collaboration Of Premium Entities – INFINIX Mobility Limited Signs Celebrity Music Artiste, Davido As Brand Ambassador",True
125,"May 7, 2018",MTN Ghana’s Self Service Kiosk: What does this mean for Mobile Money Agents?,False
126,"May 7, 2018",Experience Tomorrow Today At Techfest,True
127,"May 7, 2018",Everything You Can Expect From This Year’s Transform Africa Summit,False
128,"May 4, 2018",The Secure Lagos Hackathon Is A Lagos Innovates Event With N3 Million in Prize Money,False
129,"May 3, 2018",You Are All Invited To Diamond Bank’s TechFest,False
130,"May 3, 2018",A Timeline of Internet Blockages in Africa,False
131,"May 2, 2018",This Is How African Governments And Regulators Feel About Cryptocurrencies Right Now,False
132,"May 2, 2018",Your Data Is Our Data: A Truecaller Breakdown,False
133,"April 27, 2018",TECNO Camon X – A Phone With A Camera That Shoots Excellent Photos,True
134,"April 27, 2018",Porn Detection Machines and 7 Other Times African Governments Left Us Confused,False
135,"April 25, 2018",Can the Nigerian police stop and search you and look through your email?,False
136,"April 25, 2018",Bosch Power Tools Launches Bosch Go Smart Automatic Screwdriver Into The Nigerian Market.,True
137,"April 25, 2018",The Death of Mobile Money and Financial Inclusion in Uganda,False
138,"April 23, 2018",Accenture Innovation Index 2018 Entry Opens,True
139,"April 10, 2018",The African Union and i4policy are convening Africa’s largest hub gathering,False
140,"April 10, 2018","Uganda could use a Lifebank, or a Zipline, or both",False
141,"April 9, 2018",Tecno Camon X Unboxing And First Impressions,True
142,"April 4, 2018",Sponsored: Tecno’s new smartphone could come with blink and snap technology,True
143,"April 4, 2018",On money transfer in Africa in 2018,False
144,"April 2, 2018",How to safely get an Uber from the airport in Abuja,False
145,"March 30, 2018",OLX releases a significant platform upgrade in Nigeria,True
146,"March 30, 2018","Win a trip for two to Zanzibar, courtesy Travelstart Nigeria",True
147,"March 29, 2018",SWIFT Networks launches free broadband WI-FI service in Lagos,True
148,"March 26, 2018",Stream easy with CloudCover,True
149,"March 24, 2018",Get constant internet coverage on the move,True
150,"March 20, 2018",Enhance your travel experience with Cloud Cover,True
151,"March 16, 2018",Diamond Bank Excites Youths with Gamified Digital Savings Platform,True
152,"March 14, 2018",The Cloud Cover MiFi will fix your spotty connectivity,True
153,"March 13, 2018",Diamond Bank launches Artificial Intelligence-powered Chatbot for millions of Nigerian customers,True
154,"March 13, 2018","Merge, Human-tech Book is Relevant to Nigeria – PHD",True
155,"March 2, 2018",Chat with LEO: UBA’s new virtual banker,True
156,"March 1, 2018",Coolworld Unveils the New Haier Thermocool Energy Saving Electrical Appliances into the Nigerian Market,True
157,"February 20, 2018",Spectranet Launches “EVO” MiFi,True
158,"February 15, 2018",Digital Entertainment – Africa’s next disruption,True
159,"February 12, 2018",Developed for Africans by Africans: Kurecoinhub set to launch the first African cryptobank,True
160,"January 18, 2018",Itanna: Poised to Ignite an Economic Revolution in Africa – The Search for Africa’s Top Fintech Talent Continues,False
161,"January 3, 2018",How to Take Advantage of Lagos Innovates’ Investment in the Tech Ecosystem,False
162,"December 22, 2017",Quality Time: Tunde Ibidapo-Obe talking about LawPàdí and making Nigerian laws more accessible.,False
163,"December 20, 2017",Spectranet Launches Xmas Promo,True
164,"December 14, 2017",The iPhone X Officially Arrives in Nigeria as Apple Launches New Smartphone in Lagos,False
165,"December 14, 2017",Here’s How Government Can Actually Help Startups,False
166,"December 13, 2017",Mall for Africa wins Prestigious Drapers Award in London,False
167,"December 11, 2017",10 stories that defined the Nigerian tech scene in 2017,False
168,"December 7, 2017",Spectranet 4G LTE Appoints new CEO,True
169,"December 6, 2017",Delivering Innovation in a Developing Economy,False
170,"December 5, 2017",Zoto Announces 1 Naira Sale on its App,False
171,"November 29, 2017",ULAFF TV Wants to Tackle Depression in Nigeria with Online Comedy,False
172,"November 27, 2017",AFF Disrupt To Herald Nigeria’s First Fintech Accelerator,True
173,"November 23, 2017","Quality Time: Nnamdi Chineme on building the largest property site in Nigeria, why’s he’s not afraid of competitors outspending him and more.",False
174,"November 17, 2017",Why The New Instant Bills Pay Is The Best Payment Method In Town Now,True
175,"November 17, 2017",Four reasons to purchase the Infinix Note 4 & Note 4 pro at the Infinix Super Friday Promotion,True
176,"November 16, 2017",Tranter IT partners with Manage Engine to change the face of IT Management,True
177,"November 13, 2017","AAAP’s “Machines Millennials and Money” will hold  on the 17th of November, 2017.",True
178,"November 13, 2017",Bounce News Nigeria Wins AppsAfrica award in South Africa,True
179,"November 7, 2017",Boomplay Leads The Pack As They Win Award For ‘Best African App’,True
180,"November 1, 2017",Siemens Launches Fast Power Solutions,True
181,"October 30, 2017",Data Science Nigeria Positions Nigeria as Outsourcing Hub for the World’s Number 1 Career,True
182,"October 27, 2017","Data Science Nigeria Bootcamp: Passion, Learning, and A Lady Hackathon Winner",True
183,"October 25, 2017",CitiServe launches OrangeBox™ 7210 and retail platform,True
184,"October 16, 2017","Building the future, with Kendall Ananyi: reaching $1million in revenue without raising investment",False
185,"October 11, 2017","Valerie Kerri on being an author, launching her startup Ebony Street Market, and more.",False
186,"October 11, 2017",A lot can happen with 9mobile’s Moreflex Hybrid Premium Bundles,True
187,"October 10, 2017","BREAKING: Andela raises $40m from CRE VC, DBL, Salesforce, TLcom, others in Series C round",False
188,"October 9, 2017","NES23 Summit Starts October 10 – 12, 2017 At Transcorp Hilton:  Opportunities, Productivity & Employment To Actualize The ERGP",True
189,"October 5, 2017",Siemens Gas Turbine to generate another 150MW to the National Grid,True
190,"October 4, 2017",3 Reasons Why GoodsExpress is as good as having Amazon Nigeria,True
191,"October 3, 2017",Pre-Register for Your Samsung Galaxy Note 8,True
192,"October 3, 2017",Diamond Bank Set To Rock The Tech Stage,True
193,"September 27, 2017",Spectranet 4G LTE Launches Customer Loyalty Programme. Winner to get trip to Dubai,True
194,"September 25, 2017","Building the future, with Oluyomi Ojo: How to build a new business from an old industry",False
195,"September 22, 2017",Disruptive Innovation: 3 Key Takeaways from #InterswitchConnect 2017,True
196,"September 22, 2017",Pay securely and earn amazing rewards with Diamond mVisa,True
197,"September 22, 2017",OyaNow Ready to Deliver Convenience At Your Doorstep,True
198,"September 20, 2017",Digest: How do women use mobile money?,False
199,"September 18, 2017","Building the Future, with Afua Osei, co-founder of She Leads Africa",False
200,"September 18, 2017",Digest: How to save the peoples of Africa,False
201,"September 15, 2017",What To Expect When You Buy The New  Gionee A1 lite Smart Phone,True
202,"September 13, 2017",Bunmi Otegbade: Build the Future.,False
203,"September 13, 2017","Quality Time: Sani Yusuf on launching a new start-up, building your developer brand, lessons he wished he knew earlier, and more.",False
204,"September 13, 2017",5 features Of The New UBA Mobile App You Cant Do Without,True
205,"September 13, 2017",Digest: Showmax’s Trojan Horse,False
206,"September 12, 2017",10 Nigerian Youths Get Full Scholarship to Study in China,True
207,"September 12, 2017",InterswitchConnect: Registration Continues For First Of Its Kind Tech/Payment Conference,True
208,"September 11, 2017","Building The Future, with Michael Ocansey: Using Technology to Manage 1000 Hectares of Farmland in Ghana",False
209,"September 8, 2017",Digest: Somalia’s first tech hub,False
210,"September 7, 2017","TechCabal’s Office Hours, with Lexi Novitske: How to raise funds for your Nigerian startup",False
211,"September 7, 2017","The 23rd Nigerian Economic Summit: Creating Opportunities For Startups, October 10 – 12, 2017",True
212,"September 6, 2017",Digest: Liquid Telecom looks west,False
213,"September 5, 2017",Digest: Senegal’s green Uber,False
214,"September 4, 2017","Building the Future, with Shola Akinlade: How to build a big business by solving painful problems",False
215,"September 4, 2017",Digest: Google Launchpad Accelerator Expands to Other African Countries,False
216,"September 4, 2017","No, NCC, mobile phones are not causing cancer",False
217,"September 1, 2017",Telkom Kenya sets out to drive data consumption,False
218,"August 31, 2017",World Bank’s XL Africa programme announces its first cohort,False
219,"August 30, 2017",Renewable energy company plans to invest $800 million on solar-powered telecom towers across Africa,False
220,"August 29, 2017",Nigerian Army to begin monitoring activities on social media,False
221,"August 29, 2017",Nigeria’s first mobile cinema smartphone unveiled: Infinix Hot 5 & HOT 5 Lite in Nigeria,True
222,"August 28, 2017","Building the Future, with Ngozi Dozie: The paradox of focus for African entrepreneurs",False
223,"August 28, 2017",9 things we learnt from Yele’s AMA,False
224,"August 28, 2017",Kenya ranks highest in Africa in broadband internet speeds,False
225,"August 24, 2017",Ogavenue launches in Kenya,False
226,"August 23, 2017",Taxify is winning Lagos. For now.,False
227,"August 23, 2017","Register to attend the premier Interswitch Connect Conference, Exhibition and Breakouts.",True
228,"August 23, 2017",10 Nigerian startups selected for Seedstars World pitch,False
229,"August 22, 2017",African healthtec startup Helium Healthcare presents at Y Combinator’s 25th Demo Day,False
230,"August 21, 2017","Building the Future – Episode 9, with Marek Zmyslowski",False
231,"August 21, 2017",Nigeria Electronic Fraud Forum releases its 2016 annual report,False
232,"August 21, 2017",15 Million Naira Up For Grabs In Diamond BET 7,True
233,"August 21, 2017",Unboxing The New Gionee A1 Lite,True
234,"August 17, 2017",She Leads Africa opens applications for beauty accelerator programme,False
235,"August 16, 2017",FG Partners Huawei to Create Smart Cities in Nigeria.,True
236,"August 16, 2017",Zenith Bank takes provision on 30% of its loan to 9mobile,False
237,"August 15, 2017",17 African countries in the bottom 30 of global internet speeds,False
238,"August 14, 2017",The 22 Year Old OAU Student Who Built a Million Dollar Hedge Fund,False
239,"August 14, 2017","Radar AMA sessions are back, and Yele Bademosi will be taking your questions on August 25th!",False
240,"August 14, 2017",Meet The New Gionee A1 Lite: A Blend of Beauty and Power,True
241,"August 14, 2017","Building the Future: Lessons learnt from attempting to build an ecommerce platform in Nigeria, with Deepankar Rustagi",False
242,"August 14, 2017",Civic Innovation Lab opens applications for Civic Accelerator Programme,False
243,"August 11, 2017",Nigerian government plans automotive design competition,False
244,"August 10, 2017","TechCabal’s Office Hours, with Mark Essien: Running a startup as a technical founder",False
245,"August 10, 2017",Tizeti Launches Unlimited Speed in New Neighbourhoods,True
246,"August 10, 2017",Two African cities make Dell’s list of top 50 cities for support of female entrepreneurs,False
247,"August 9, 2017","Quality Time: Amina Ibrahim and Lara Tijani discussing PAN, socio-economic issues, co-founders’ decision making, and more",False
248,"August 3, 2017","Spectranet Introduces Pebble Mifi, offers more to subscribers",True
249,"August 3, 2017","Coollink, partner of Konnect Africa, Announces Asta Satellite Broadband",True
250,"August 1, 2017",African Tech Roundup: Investor Bias Debate 2.0 + Should Africa Embrace Uberisation? feat. Vije Vijendranath,False
251,"July 28, 2017",Remita Mobile App now on Android and iOS,True
252,"July 27, 2017",Uber launches support centre,False
253,"July 26, 2017",NCC moves to fine mobile network operators over call refilling,False
254,"July 25, 2017",Building the Future: In Conversation with Mark Essien,False
255,"July 24, 2017",Ushahidi Fires Daudi Were,False
256,"July 21, 2017",Etisalat Nigeria Becomes 9mobile,True
257,"July 20, 2017",Visa and leading banks bring mobile payments to Nigeria,True
258,"July 19, 2017",African Tech Roundup: Uber drivers in SA now considered employees of the service,False
259,"July 19, 2017",Etisalat Nigeria Officially Confirms Brand Name Change,False
260,"July 18, 2017",Building the Future: In Conversation with Bob Collymore,False
261,"July 17, 2017",How FlexiSAF is Transforming Education,True
262,"July 17, 2017",TechCabal Schedules Office Hours with Odun Longe and Ope Adeoye,False
263,"July 14, 2017",Office Hours with Odun Longe,False
264,"July 14, 2017",Office Hours with Ope Adeoye,False
265,"July 13, 2017",HUB8 Launches In Nigeria,True
266,"July 12, 2017",Printivo Launches Printivo Store,False
267,"July 11, 2017","Get up to N100,000 in minutes with Etisalat’s KwikCash Mobile Loan Solution",True
268,"July 11, 2017","Register For ‘Africa As A Platform Conference’ Tagged: “Machines, Millennials &Money.”",True
269,"July 10, 2017",.AFRICA Domain Names Are Now Available,True
270,"July 10, 2017",R.I.P. Mubarak Abdulwahab,False
271,"July 6, 2017","Building the Future: Iyin Aboyeji – Empowering People, Building Platforms and Getting Power",False
272,"July 6, 2017",Newly Appointed Etisalat Board to Decide Company’s Fate in Six Months,False
273,"July 4, 2017",Introducing the Infinix Note 4 with Xpen,True
274,"July 3, 2017",The Open Yaba Manifesto Goes Live on Radar,False
275,"June 28, 2017",African Tech Roundup: Malawi’s Push for National Digitisation,False
276,"June 23, 2017",Western Union Partners with Mastercard for Refugee Assistance Initiative,False
277,"June 22, 2017",Side Hustle to Empire: The 3 Hardest Things About Running My Startup,False
278,"June 22, 2017",Fibre.ng’s Express Launches in Beta,False
279,"June 21, 2017",Offshore HoldCos as Investment Vehicles for Nigerian Startups – Some Considerations for Founders and VCs,False
280,"June 20, 2017",Safaricom Set to Launch a Music Streaming Service in July,False
281,"June 19, 2017",African Tech Roundup: Africa-Focused Insights From IoT World Forum 2017,False
282,"June 19, 2017","60,000 Nigerians Participate in an Instagram Live Praise and Worship Session",False
283,"June 16, 2017",Office Hours with Olumide Olusanya,False
284,"June 16, 2017",True Talk with Ezra Olubi,False
285,"June 13, 2017",Egyptian Government Demands Uber Data,False
286,"June 13, 2017",Side Hustle to Empire: How I Quit My 9 to 5 for My Side Hustle,False
287,"June 12, 2017",Siemens Cost Reduction Solutions for Nigerian Oil and Gas Industry.,True
288,"June 12, 2017","Quality Time: Lola Ekugo On Launching Transthat, Lessons From Previous Startups, And More",False
289,"June 12, 2017",Nigeria Just Got a Verified Twitter Handle,False
290,"June 8, 2017",Ewa Agoyin Online Launches,False
291,"June 6, 2017",Meet the New TECNO DroiPad 7D,False
292,"June 6, 2017",LAN Start-Up DealDay 2017 Now Open for Applications,False
293,"June 5, 2017",The Population of Nigerians with Bank Accounts,False
294,"June 2, 2017",Afrobytes Tech Conference,False
295,"June 2, 2017",Valuation Variance Pt. 2,False
296,"June 2, 2017",New York Designer Accuses Wema of Plagiarism,False
297,"June 1, 2017",The Expat Founder Debate and a Busload of Accidental Hot Takes Feat. Mark Kaigwa,False
298,"June 1, 2017",Ethiopian Government Shuts Down Internet,False
299,"May 31, 2017",Get the best rewards with NOWNOW,True
300,"May 26, 2017",Philip Ese’s ALAT Report,False
301,"May 25, 2017",Akwa Ibom State Government Launches Factory for Pencil Production,False
302,"May 24, 2017",Valuation Variance Pt.1,False
303,"May 24, 2017",Frontier Car Group Closes $22 Million Investment,False
304,"May 23, 2017",Tapping Into The Right Content Opportunities,True
305,"May 23, 2017",Nigerian Banks Earned N138 Billion in Electronic Payment Charges in 2016,False
306,"May 18, 2017",Truecaller Set to Starting Serving Ads to Users in Africa,False
307,"May 17, 2017",Lagos State Government Bans VIO,False
308,"May 16, 2017",EasyWin Games: Nigeria’s First Realtime Multiplayer Game,True
309,"May 15, 2017",What you should know about Africa’s first Dual front camera smartphone ‘Infinix S2’,True
310,"May 15, 2017","Photos from the Canon 5D Mark IV Launch In Lagos, Nigeria",True
311,"May 15, 2017",African Tech Roundup: Scientists Successfully Remove HIV Virus From Mouse Cells Using CRISPR,False
312,"May 15, 2017",Nigeria Is Home to the Newest Porn Economy,False
313,"May 12, 2017",A Sneak Peek at ALAT,True
314,"May 11, 2017",Spectranet gets recognized with double awards,True
315,"May 11, 2017",Google Won’t Be Building Fibre Infrastructure in Nigeria,False
316,"May 10, 2017",NOWNOW App Review,True
317,"May 10, 2017",Lagos Uber Riders Consider Uber Alternatives,False
318,"May 10, 2017","No, Taxify Is Not “Winning” the “War” Against Uber",False
319,"May 9, 2017",Hemon Consulting’s Business Space,True
320,"May 9, 2017",TechCabal Daily: The CcHub Disapora Challenge,False
321,"May 8, 2017",TechCabal Daily: The African Connectivity Hustle,False
322,"May 5, 2017",TechCabal Daily: Generous Uber,False
323,"May 4, 2017",TechCabal Daily: What is Public Transport?,False
324,"May 3, 2017",Konga Daily’s Unveiling,False
325,"May 2, 2017","HiiL offers up to 20,000 EUR plus business support for justice innovators",True
326,"May 2, 2017",We are back!,False
327,"April 28, 2017",Paga Partners With NIPOST,False
328,"April 27, 2017",Stanbic IBTC’s instant account opening service in open beta,False
329,"April 26, 2017","Accounting startup, ikOOba BMAC, has launched in Nigeria",True
330,"April 26, 2017",TechCabal daily: Which way Rocket?,False
331,"April 25, 2017",Garanntor Nigeria bags the Best Local Hosting Company category at NIRA 2017 .NG Awards,True
332,"April 25, 2017",TechCabal daily: Safaricom goes dark,False
333,"April 25, 2017","NOWNOW: Ditch your wallet, take your mobile money!",True
334,"April 24, 2017",Hot Deals from Kilimall Nigeria in The Ongoing Mobile Week,True
335,"April 24, 2017",Startup Buffettology Lesson #4: Less Is More,False
336,"April 24, 2017",TechCabal daily: Konga launches groceries,False
337,"April 21, 2017",TechCabal daily: A new way of doing things,False
338,"April 20, 2017","Watch Herbert Wigwe, MD/CEO of Access Bank’s Interview on Innovation and Technology in Africa",True
339,"April 20, 2017",TechCabal daily: May Your Industry Be Glorious,False
340,"April 19, 2017",Building Netsob: Episode 7 – The New iUniport SMS Alert and the Resulting Conundrum,False
341,"April 19, 2017",The Samsung Galaxy S8 and S8+ are now available for pre-registration in Nigeria,True
342,"April 19, 2017",TechCabal daily: Speedtest or it didn’t happen,False
343,"April 18, 2017",Startup Buffettology Lesson #3: Life Is Too Short,False
344,"April 18, 2017",MTN Mobile Electricity: Just the right gift!,True
345,"April 18, 2017",TechCabal daily: Welcome Back,False
346,"April 13, 2017",Let’s Talk about Security Threats at the Oracle Security Summit 2017 happening in Lagos this April,True
347,"April 13, 2017",TechCabal daily: Don’t shoot the messenger,False
348,"April 12, 2017",Building Netsob: Episode 6 – iUniport vs Facebook,False
349,"April 12, 2017",Op-Ed: SWOT analysis of the Nigerian e-commerce sector,False
350,"April 12, 2017","TechCabal Daily: “Injects”, “pumps” or “pours”?",False
351,"April 11, 2017","Join Ferdicon founder, Ferdinand Ezeaniekwe, for an exclusive AMA on e-commerce this Thursday at 2pm",False
352,"April 10, 2017",Startup Buffettology Lesson #2: The market is Queen,False
353,"April 10, 2017",Op-Ed: Regulating Net Neutrality: Policy Recommendations for Promoting and Safeguarding an Open Internet in Nigeria,False
